City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,lihue,21.9789,-159.3672,25.58,79,20,4.63,US,1707456663
82,georgetown,5.4112,100.3354,33.96,70,20,4.12,MY,1707456551
83,margate,51.3813,1.3862,10.5,94,100,4.47,GB,1707456471
84,trapani,37.8333,12.6667,12.05,88,20,6.17,IT,1707456663
85,quellon,-43.1167,-73.6167,11.51,88,70,3.24,CL,1707456664
86,st. john's,47.5649,-52.7093,-0.68,96,100,7.2,CA,1707456538
87,nchelenge,-9.3451,28.734,21.95,88,100,0.9,ZM,1707456664
88,homer,59.6425,-151.5483,3.21,77,100,5.14,US,1707456664
89,hithadhoo,-0.6,73.0833,28.17,70,100,6.2,MV,1707456664
90,nuuk,64.1835,-51.7216,-9.66,73,100,8.75,GL,1707456664
91,arawa,-6.2132,155.5367,27.99,80,99,0.36,PG,1707456664
92,kyshtovka,56.555,76.6271,1.3,91,93,9.39,RU,1707456664
93,sinabang,2.4803,96.3801,28.92,73,76,2.29,ID,1707456664
94,invercargill,-46.4,168.35,16.68,63,99,3.13,NZ,1707456665
95,agat village,13.3886,144.6585,29.52,66,40,6.69,GU,1707456665
96,salinopolis,-0.6136,-47.3561,26.59,85,61,4.3,BR,1707456665
97,luorong,24.4058,109.6086,13.76,56,75,4.34,CN,1707456665
98,borogontsy,62.6683,131.1683,-33.01,92,99,0.36,RU,1707456665
99,ushuaia,-54.8,-68.3,9.81,76,20,11.83,AR,1707456665
100,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,75,75,3.58,RU,1707456631
101,la jolla,32.8473,-117.2742,12.03,89,75,3.09,US,1707456653
102,clearfield,41.1253,-78.75,7.75,56,0,4.63,US,1707456665
103,lazaro cardenas,17.9583,-102.2,22.38,83,8,2.53,MX,1707456666
104,pontes e lacerda,-15.2261,-59.3353,23.23,89,76,1.39,BR,1707456666
105,zyrya,40.3661,50.2917,12.05,65,66,6.82,AZ,1707456666
106,gadzhiyevo,69.2551,33.3362,-21.18,99,100,2.49,RU,1707456666
107,ust'-kulom,61.6864,53.6902,-11.14,94,100,3.06,RU,1707456666
108,kekri,25.9667,75.15,19.7,20,45,1.98,IN,1707456666
109,al qusayr,34.5091,36.5798,10.93,71,64,0.95,SY,1707456666
110,lebu,-37.6167,-73.65,13.48,92,22,7.09,CL,1707456666
111,maiduguri,11.8464,13.1603,17.42,37,62,2.71,NG,1707456667
112,atafu village,-8.5421,-172.5159,29.41,74,100,4.08,TK,1707456667
113,luchegorsk,46.4764,134.2569,-7.87,81,62,2.06,RU,1707456667
114,labuan,5.2767,115.2417,29.2,83,20,4.12,MY,1707456667
115,oleksandrivka,48.9634,32.2349,0.85,99,100,3.59,UA,1707456667
116,sandnessjoen,66.0217,12.6316,-0.88,93,75,9.77,NO,1707456667
117,martapura,-3.4167,114.85,30.05,79,40,2.57,ID,1707456667
118,la ronge,55.1001,-105.2842,-6.86,86,100,1.54,CA,1707456667
119,bredasdorp,-34.5322,20.0403,18.87,69,43,4.1,ZA,1707456667
120,tazacorte,28.629,-17.9293,21.54,75,0,1.34,ES,1707456668
